status,open,close,type,account_id,client_id,value
Active,2003-10-28,,Roth IRA,1,1,128864.74343396582
Active,2009-08-26,,Roth 401(k),2,1,85543.76610787527
Active,2017-07-27,,529,3,2,16320.47834333197
Active,2017-02-16,,Roth 401(k),4,2,17043.28532567553
Inactive,2015-11-15,2018-03-05,Brokerage,5,2,20684.564426411944
Active,2015-02-25,,Roth IRA,6,3,24803.034394045975
Active,2018-02-13,,Roth 401(k),7,3,12611.47558343552
Active,2008-05-31,,529,8,3,19039.603792660724
Active,2006-10-07,,Brokerage,9,3,7152.69633511702
Active,2011-09-24,,Brokerage,10,4,12340.25776976904
Active,2012-10-02,,529,11,5,4507.341607878586
Active,2015-11-06,,Brokerage,12,6,24530.539520566388
Active,2013-02-26,,Roth 401(k),13,7,99273.7172267046
Active,2011-05-16,,529,14,7,5659.919071480595
Inactive,2014-08-26,2016-03-01,Brokerage,15,7,13904.36794760244
Active,2017-12-05,,Roth IRA,16,7,19865.921300988117
Active,2013-12-04,,Traditional IRA,17,7,7164.441713171584
Active,2018-04-29,,Brokerage,18,8,11098.280069024555
Active,2017-06-19,,Roth IRA,19,8,19089.135025585307
Active,2018-04-03,,529,20,8,2498.6125543639846
Active,2009-04-15,,Roth IRA,21,9,11541.319888132779
Active,2012-09-04,,Roth 401(k),22,9,13023.899479202968
Active,2017-04-06,,529,23,9,5372.940025926713
Active,2005-02-06,,Brokerage,24,9,12455.722129661859
Active,2005-06-01,,Traditional IRA,25,9,21891.214138826297
Active,2012-11-28,,Brokerage,26,10,11199.435420645419
Active,2015-08-03,,Roth IRA,27,10,2118.9057116716717
Active,2002-09-01,,Roth IRA,28,11,19996.42696056768
Active,2003-05-27,,Brokerage,29,11,11464.281472675468
Active,2018-04-07,,Roth IRA,30,12,5462.270850691431
Active,2016-05-19,,Brokerage,31,12,6088.26664367232
Active,2016-03-02,,Traditional IRA,32,12,6398.415460757316
Active,2016-05-21,,Traditional IRA,33,13,180218.06506999975
Active,2009-10-05,,Roth IRA,34,14,247208.42464644703
Active,2016-08-30,,529,35,15,17118.064190686913
Inactive,2009-02-11,2012-06-24,Brokerage,36,15,19885.415833396193
Active,2017-05-19,,Roth 401(k),37,16,9396.527167583743
Inactive,2016-03-06,2017-04-15,529,38,16,16518.496983194636
Active,2011-06-26,,Traditional IRA,39,16,11673.236881513663
