status,open,close,type,account_id,client_id
Active,2003-10-28,,Roth IRA,1,1
Active,2003-07-16,,Roth 401(k),2,1
Active,2013-03-26,,529,3,2
Active,2015-12-17,,Roth IRA,4,2
Active,2013-06-08,,Roth IRA,5,3
Inactive,2014-10-19,2016-10-14,Brokerage,6,3
Active,2015-12-03,,Traditional IRA,7,3
Inactive,2013-07-20,2016-12-19,Roth 401(k),8,3
Inactive,2018-05-01,2018-08-20,Roth IRA,9,4
Active,2017-10-29,,Brokerage,10,4
Active,2017-12-20,,Roth 401(k),11,4
Active,2016-03-14,,529,12,5
Active,2012-05-25,,Roth 401(k),13,5
Active,2018-04-08,,Brokerage,14,5
Active,2018-04-30,,529,15,6
Active,2015-03-23,,Brokerage,16,6
Inactive,2013-01-13,2014-01-22,Roth 401(k),17,6
Active,2015-07-29,,Roth IRA,18,6
Active,2016-07-30,,Traditional IRA,19,7
Active,2017-01-27,,Roth 401(k),20,7
Active,2016-07-10,,529,21,7
Active,2014-11-14,,529,22,8
Active,2013-11-29,,Brokerage,23,8
Active,2005-10-02,,Roth 401(k),24,8
Active,2017-04-08,,Roth IRA,25,9
Active,2016-01-24,,529,26,9
Active,2016-01-02,,Traditional IRA,27,9
Active,2017-11-09,,Brokerage,28,9
Active,2017-07-13,,Roth 401(k),29,10
Active,2016-12-08,,Brokerage,30,10
Active,2016-10-17,,Roth IRA,31,10
Active,2017-07-12,,Traditional IRA,32,10
Active,2017-10-24,,529,33,10
Active,2016-07-30,,529,34,11
Active,2006-01-20,,Roth IRA,35,11
Active,2018-03-24,,Traditional IRA,36,11
Active,2007-10-09,,Brokerage,37,11
Active,2002-01-30,,Roth 401(k),38,11
Inactive,2015-04-24,2017-01-07,529,39,12
Active,2016-06-30,,Roth 401(k),40,12
Active,2013-09-07,,Roth IRA,41,13
Active,2013-11-12,,529,42,13
Active,2013-07-20,,Brokerage,43,13
Active,2005-03-12,,Roth IRA,44,14
Active,2006-04-15,,Roth 401(k),45,14
Active,2018-05-27,,Traditional IRA,46,15
Active,2018-02-23,,Roth IRA,47,15
Active,2017-08-01,,Roth 401(k),48,15
Active,2016-05-15,,Brokerage,49,15
Active,2018-06-16,,529,50,15
Inactive,2013-06-02,2017-02-14,Roth IRA,51,16
Active,2005-08-01,,529,52,17
Active,2014-10-10,,Roth IRA,53,17
